kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Tandartsenpraktijk Buitenveldert;adres;Van Nijenrodeweg;834;;;1082JM;Amsterdam;Zuid;http://www.tandartsenpraktijkbuitenveldert.nl;tpbbalie@xs4all.nll;020 642 5130;;;;;
Wijksteunpunt Wonen Oost;adres;Wijttenbachstraat;36;;hs;1093JC;Amsterdam;Oost;http://www.wswonen.nl/oost;;020 462 0330;020 460 9379;inloopspreekuur: woensdag van 09.00 tot 12.00 uur.<br /> maandag van 19.00 tot 20.00 uur.;bij het wijksteunpunt wonen (wswonen) oost kunnen huurders terecht voor gratis informatie, advies en ondersteuning op het gebied van huren en wonen.;;
Wijksteunpunt Wonen West;adres;Eerste Helmersstraat;106;D;;1054EG;Amsterdam;West;http://www.wswonen.nl;;020 618 2444;;"kijk op de <a class=externlink"" href=""http://www.wswonen.nl/west/contact/"">website</a> voor de spreekuren.""";bij het wijksteunpunt wonen (wswonen) kunnen huurders terecht voor gratis informatie, advies en ondersteuning op het gebied van huren en wonen.;;
Partou Kinderopvang;postadres;POSTBUS;396;;;4130EJ;VIANEN UT;;http://www.partou.nl;info@partou.nl;088 235 7500;;;partou heeft verschillende kindercentra (kinderdagverblijven en naschoolse opvang) in amsterdam.;;
Platform Mantelzorg Amsterdam (PMA);adres;Plantage Middenlaan;14;;1 hoog;1018DD;Amsterdam;Centrum;http://www.clientenbelangamsterdam.nl/platform-mantelzorg-amsterdam-3447.html;m.vink@clientenbelangamsterdam.nl;020 752 5100;;;het platform mantelzorg amsterdam (pma) behartigt de collectieve belangen van mantelzorgers in amsterdam.<br /> <br /> het platform inventariseert knelpunten en formuleert op basis daarvan beleidsv;;
Centro Cultural de Hispanohablantes;adres;Willem Schoutenstraat;1;A;;1057DL;Amsterdam;West;http://www.hispanohablantes.nl;hispanohablantes@hotmail.com;020 618 5828;;;het centro cultural de hispanohablantes is een stichting die zich inzet voor de integratie en participatie van de spaanssprekende migranten in amsterdam, met name ouderen en vrouwen.;;
MRI Centrum;adres;IJsbaanpad;10;B;;1076CV;Amsterdam;Zuid;http://www.mricentrum.nl;info@mricentrum.nl;0880 888 888;;;mri beelden worden gebruikt voor het stellen van een diagnose. voor een afspraak is een verwijzing van een arts nodig.;;
NA-Anonieme Verslaafden Nederland;postadres;Postbus;11976;;;1001GZ;Amsterdam;;http://www.na-holland.nl;voorlichting.amsterdam@na-holland.nl;06 2234 1050;;;in amsterdam komen verschillende groepen wekelijks samen op alle dagen van de week op verschillende locaties. de groepen zijn engelstalig, nederlandstalig, twee- of meertalig.;;
Verloskundige Praktijk F.O. Ekeocha;adres;Laan der Hesperiden;14;;;1076DK;Amsterdam;Zuid;;ekeocha218@hotmail.com;020 400 4344;;;;;
Fysiohulp;adres;Derde Kostverlorenkade;2;;bg;1054TN;Amsterdam;West;http://www.fysiohulp.com;info@fysiohulp.com;06 4297 0196;;;fysiotherapiepraktijk gespecialiseerd in de fasciatechniek volgens de fit (fascia integration therapy) methode.;;
Fysiotherapiepraktijk Lopes Cardozo;adres;Olympisch Stadion;3;;;1076DE;Amsterdam;Zuid;http://www.fysiotherapie-lopescardozo.nl;lopes.cardozo@ziggo.nl;020 453 2453;;;praktijk voor:      <ul>        <li>fysiotherapie </li>        <li>manuele therapie </li>        <li>sportfysiotherapie </li>      </ul>;;
Fysiotherapiepraktijk Lopes Cardozo;adres;Van der Veerelaan;71;;;1181RA;Amstelveen;;http://www.fysiotherapie-lopescardozo.nl;lopes.cardozo@ziggo.nl;020 453 2453;;;praktijk voor:      <ul>        <li>fysiotherapie </li>        <li>manuele therapie </li>        <li>sportfysiotherapie </li>      </ul>;;
Nolet Fysiotherapeuten;adres;Jacob Obrechtstraat;21;;;1071KE;Amsterdam;Zuid;http://www.hcaa.nl;info@noletfysiotherapeuten.nl;020 616 0716;;;gespecialiseerd in handtherapie.;;
Fysiotherapiepraktijk Sno;adres;Johan Huizingalaan;78;;;1065JD;Amsterdam;Nieuw West;http://www.fysiosno.nl;info@fysiosno.nl;020 617 1901;;;fysiotherapeut:<br /> t.j.m. sno    fysiotherapie    huidverzorging    massage    medische trainingstherapie;;
Nassaukade 57, fysiotherapie en manuele therapie;adres;Nassaukade;57;;;1052CP;Amsterdam;West;http://www.nassaukade57.nl;;020 682 7720;;;multidisciplinaire praktijk voor:<br /> - fysiotherapie<br /> - manuele therapie<br /> - runningtherapie<br /> - acupunctuur<br /> - haptotherapie<br /> - psychotherapie;;
Paramedisch centrum Gezond in Zuid;adres;Ruysdaelstraat;49;a;;1071XA;Amsterdam;Zuid;http://www.gezondinzuid.nl;info@gezondinzuid.nl;020 671 7135;;;"in het&nbsp;paramedisch centrum gezond in zuid werkt een groot aantal paramedische zorgverleners met elkaar samen.";;
Paramedisch centrum Gezond in Zuid;adres;Apollolaan;4;;;1077BA;Amsterdam;Zuid;http://www.gezondinzuid.nl;info@gezondinzuid.nl;020 671 7135;;;"in het&nbsp;paramedisch centrum gezond in zuid werkt een groot aantal paramedische zorgverleners met elkaar samen.";;
Fysiotherapiepraktijk Crouwel;adres;Van Nijenrodeweg;914;;;1081BK;Amsterdam;Zuid;http://www.praktijkcrouwel.nl;info@praktijkcrouwel.nl;020 644 0070;;;;;
Gezondheidscentrum Haveneiland;adres;IJburglaan;727;;;1087CH;Amsterdam;Oost;http://www.gzc-haveneiland.nl;info-haveneiland@sag-amsterdam.nl;020 495 2279;;;"een gezondheidscentrum biedt ge&iuml;ntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &eacute;&eacute;n gebouw gevestigd en werken samen.";;
Gezondheidscentrum Slotermeer;adres;Burgemeester De Vlugtlaan;111;;;1063BJ;Amsterdam;Nieuw West;http://www.gzc-slotermeer.nl;info-slotermeer@sag-amsterdam.nl;020 613 3212;;;"een gezondheidscentrum biedt ge&iuml;ntegreerde eerstelijnszorg. verschillende zorgaanbieders zijn in &eacute;&eacute;n gebouw gevestigd en werken samen.<br /> zorgaanbod:<br /> huisartsen<br /> ma";;
De Praktijk;adres;Vogelplein;4;;;1022XP;Amsterdam;Noord;http://www.de-praktijk.info;info@de-praktijk.info;;;;de praktijk biedt ondersteuning, hulp en begeleiding aan kinderen en jongeren (6 t/m 16 jaar) en aan volwassenen.    kanjertraining: voor kinderen (en hun ouders) die moeilijk aansluiting vind;;
Tandartspraktijk Slotermeer;adres;Slotermeerlaan;105;C;;1063JN;Amsterdam;Nieuw West;http://www.tandartspraktijkslotermeer.nl;;020 453 4908;;;;;
Zwart Fysiotherapie;adres;Avenhornstraat;41;;;1023TR;Amsterdam;Noord;http://www.fysiotherapiezwart.nl;avenhornstraat@fysiotherapiezwart.nl;020 636 6183;;;fysiotherapie, sportfysiotherapie, kinderfysiotherapie, haptotherapie, podologie, bekkenfysiotherapie.;;
Zwart Fysiotherapie;adres;Elpermeer;227;;;1025AG;Amsterdam;Noord;http://www.fysiotherapiezwart.nl;avenhornstraat@fysiotherapiezwart.nl;020 632 0179;;;fysiotherapie, sportfysiotherapie, kinderfysiotherapie, haptotherapie, podologie, bekkenfysiotherapie.;;
Praktijk voor fysiotherapie De Aker;adres;Dokter Meurerlaan;7;;;1067SM;Amsterdam;Nieuw West;http://www.fysiotherapiedeaker.nl;info@fysiotherapiedeaker.nl;020 367 0135;020 619 3488;;<ul>        <li>fysiotherapie </li>        <li>manuele therapie </li>        <li>lymfedrainage </li>        <li>kinesio taping </li>        <li>diabetesbegeleiding </li>        <li>kinderf;;
Praktijk voor fysiotherapie De Aker;adres;Eurokade;38;;;1060RZ;Amsterdam;Nieuw West;http://www.fysiotherapiedeaker.nl;info@fysiotherapiedeaker.nl;020 367 0135;020 619 3488;;<ul>        <li>fysiotherapie </li>        <li>manuele therapie </li>        <li>lymfedrainage </li>        <li>kinesio taping </li>        <li>diabetesbegeleiding </li>        <li>kinderf;;
Praktijk voor fysiotherapie De Aker;adres;Eliza van Calcarstraat;2;;;1068RR;Amsterdam;Nieuw West;http://www.fysiotherapiedeaker.nl;info@fysiotherapiedeaker.nl;020 367 0135;020 619 3488;;<ul>        <li>fysiotherapie </li>        <li>manuele therapie </li>        <li>lymfedrainage </li>        <li>kinesio taping </li>        <li>diabetesbegeleiding </li>        <li>kinderf;;
Fysiotherapiepraktijk Ottens;adres;Lomanstraat;4;;hs;1075RA;Amsterdam;Zuid;http://www.fysiottens.nl;P.ottens1@chello.nl;020 679 5353;;;fysiotherapeut:<br /> p.h.l. ottens;;
FysioThrain;adres;Haarlemmermeerstraat;16;;-18;1058KA;Amsterdam;Zuid;http://www.fysiothrain.nl;info@fysiothrain.nl;020 615 2070;;;specialisatie: orthopedische revalidatie, sportbegeleiding, kinderfysiotherapie en hoofdpijnklachten.             (gebruik van revalidatieapparatuur en meetapparatuur, waaronder emg).;;
Fysio Beter Bewegen;adres;Overtoom;256;;;1054JA;Amsterdam;West;http://www.fysiobeterbewegen.nl;fbb@fysiobeterbewegen.nl;020 618 4658;020 389 2934;;"specialisaties: algemene fysiotherapie,&nbsp;(orthopedische) manuele therapie,&nbsp;geriatriefysiotherapie,&nbsp;bekken fysiotherapie,&nbsp;psychosomatische fysiotherapie,&nbsp;bedrijfsfysiotherapi";;
Fysio Beter Bewegen;adres;Veeteeltstraat;20;;;1097WV;Amsterdam;Oost;http://www.fysiobeterbewegen.nl;fbb@fysiobeterbewegen.nl;020 665 6688;020 389 2934;;"specialisaties: algemene fysiotherapie,&nbsp;(orthopedische) manuele therapie,&nbsp;geriatriefysiotherapie,&nbsp;bekken fysiotherapie,&nbsp;psychosomatische fysiotherapie,&nbsp;bedrijfsfysiotherapi";;
Fysio Beter Bewegen;adres;Johan Jongkindstraat;3;;;1062CK;Amsterdam;Nieuw West;http://www.fysiobeterbewegen.nl;fbb@fysiobeterbewegen.nl;020 669 8159;020 389 2934;;"specialisaties: algemene fysiotherapie,&nbsp;(orthopedische) manuele therapie,&nbsp;geriatriefysiotherapie,&nbsp;bekken fysiotherapie,&nbsp;psychosomatische fysiotherapie,&nbsp;bedrijfsfysiotherapi";;
Transform Counselling praktijk voor psychosociale hulpverlening en pastorale counselling;adres;Banne Buikslootlaan;63;b;;1034AA;Amsterdam;Noord;http://www.transform-counselling.nl;;06 5517 7943;;;transform counselling is een praktijk voor psychosociale hulpverlening en (pastorale) counselling. voor volwassenen, kinderen en jongeren.;;
De Beweging, Adviesbureau voor beweging, ontspanning en ergonomie;adres;Govert Flinckstraat;334;;;1074CE;Amsterdam;Zuid;http://www.debewegingadvies.nl;info@beweging.tv;020 675 4339;;;rsi    spierspanningshoofdpijn    chronische rugpijn    burnout en overspannenheid    hyperventilatie    chronische vermoeidheid    fibromyalgie    handtherapie</;;
Van Hoogendam, fysiotherapiepraktijk;adres;Henegouwenstraat;2;;;1066DG;Amsterdam;Nieuw West;http://www.fysiotherapienieuwsloten.nl;info@fysiotherapienieuwsloten.nl;020 617 6115;;;;;
Boersen & Schrooten, praktijk voor fysiotherapie en manuele therapie;adres;Willem Passtoorsstraat;139;;;1073HW;Amsterdam;Zuid;http://www.fysioamsterdam.nl;info@fysioamsterdam.nl;020 662 0948;;;specialisaties: manuele therapie, behandeling rsi, lymfedrainage en oedeemtherapie, bekkentherapie en ontspanningstherapie.;;
Fysiotherapie Sumatrastraat;adres;Sumatrastraat;100;;;1094NJ;Amsterdam;Oost;;fysiosumatra@gmail.com;020 668 4288;;maandag t/m vrijdag: 08.30-18.00 uur.;specialisaties:<br /> - manuele therapie<br /> - bekkenbodemdysfunctie<br /> - haptonomie<br /> - psychosomatiek;;
Fysiotherapie Eemsstraat;adres;Eemsstraat;43;;hs;1079TD;Amsterdam;Zuid;;;020 642 2448;;;fysiotherapeut: dhr. g.j. köhler.;;
Fysiotherapie Geuzenveld;adres;Cornelis Outshoornstraat;126;;;1067HG;Amsterdam;Nieuw West;http://www.fysiotherapiegeuzenveld.nl;info@fysiotherapiegeuzenveld.nl;020 611 0000;;;;;
Fysiotherapie Midden Noord;adres;IJdoornlaan;1703;;;1034BM;Amsterdam;Noord;http://www.fysiotherapie-middennoord.nl;parlevinker@fysiomiddennoord.nl;020 631 9665;;;fysiotherapeuten:    dhr. a. berendsen (manueel therapeut)    mevr. d.n. hulshof (bekkenfysiotherapeute i.o.)    mevr. m. kuip (oedeemtherapeute)    dhr. a.j. penners (begeleidi;;
Fysiotherapie Midden Noord;adres;Parlevinker;7;;;1034PX;Amsterdam;Noord;http://www.fysiotherapie-middennoord.nl;parlevinker@fysiomiddennoord.nl;020 631 9665;;;fysiotherapeuten:    dhr. a. berendsen (manueel therapeut)    mevr. d.n. hulshof (bekkenfysiotherapeute i.o.)    mevr. m. kuip (oedeemtherapeute)    dhr. a.j. penners (begeleidi;;
Fysiotherapie Oud West;adres;Overtoom;434;;;1054JV;Amsterdam;West;http://www.fysiotherapieoudwest.nl;;020 612 8599;;;specialisaties:       <ul>        <li>manuele therapie</li>        <li>fysiotherapie bij oncologie</li>        <li>psychosomatische fysiotherapie en haptonomie</li>        <li>hapton;;
Fysiotherapie Rozenstraat;adres;Tweede Rozendwarsstraat;21;;;1016PD;Amsterdam;Centrum;http://www.fysiotherapie-rozenstraat.nl;info@fysiotherapie-rozenstraat.nl;020 625 4380;;maandag t/m vrijdag.;specialisaties:<br /> - fysiotherapie<br /> - adem- en ontspanningstherapie<br /> - botweefselbehandeling.;;
Fysiotherapie en Sportadvies (FTSA);adres;C. van Eesterenlaan;40;;;1019JN;Amsterdam;Oost;http://www.ftsa.nl;info@ftsa.nl;020 419 3726;;;(sport)fysiotherapie, manuele therapie en medische training.;;
Fysiotherapie en Sportadvies (FTSA);adres;Voorlandpad;13;;;1098TZ;Amsterdam;Oost;http://www.ftsa.nl;info@ftsa.nl;020 419 3726;;;(sport)fysiotherapie, manuele therapie en medische training.;;
Fysiotherapie Amsterdam-Noord;adres;IJdoornlaan;599;;;1024KT;Amsterdam;Noord;http://www.fysiotherapieamsterdamnoord.nl;info@fysiotherapielagrouwenlattmann.nl;020 632 3614;020 637 1976;;o.a. fysiotherapie, mensendieck, bekkentherapie, haptonomie, manuele therapie.;;
Fysiotherapie Amsterdam-Noord;adres;Zwanenplein;43;;;1021CJ;Amsterdam;Noord;http://www.fysiotherapieamsterdamnoord.nl;info@fysiotherapielagrouwenlattmann.nl;020 632 3820;020 637 1976;;o.a. fysiotherapie, mensendieck, bekkentherapie, haptonomie, manuele therapie.;;
Fysiotherapie Amsterdam-Noord;adres;Loenermark;777;a;;1025VM;Amsterdam;Noord;http://www.fysiotherapieamsterdamnoord.nl;info@fysiotherapielagrouwenlattmann.nl;020 636 8687;020 637 1976;;o.a. fysiotherapie, mensendieck, bekkentherapie, haptonomie, manuele therapie.;;
Fysiotherapie Amsterdam-Noord;adres;Spanderswoudstraat;94;;;1024LE;Amsterdam;Noord;http://www.fysiotherapieamsterdamnoord.nl;info@fysiotherapielagrouwenlattmann.nl;020 632 0846;020 637 1976;;o.a. fysiotherapie, mensendieck, bekkentherapie, haptonomie, manuele therapie.;;
Reïntegratie Advies & Training (REAT);adres;Martini van Geffenstraat;48;;;1068GL;Amsterdam;Nieuw West;http://www.reat.nl;info@reat.nl;020 619 4588;;;reat (revalidatie advies & training) is gespecialiseerd in fysiotherapie, lifestyle-advies, medische training en (top)sportbegeleiding.;;
Reïntegratie Advies & Training (REAT);adres;Wisseloordplein;4;;;1106MH;Amsterdam;Zuidoost;http://www.reat.nl;info@reat.nl;020 619 2225;;;reat (revalidatie advies & training) is gespecialiseerd in fysiotherapie, lifestyle-advies, medische training en (top)sportbegeleiding.;;
Fysiotherapie Westlandgracht;adres;Westlandgracht;85;;;1058TP;Amsterdam;Zuid;http://www.fysiowestlandgracht.nl;info@fysiowestlandgracht.nl;020 617 4646;;;;;
FysioXL;adres;Stadionweg;263;;;1076NZ;Amsterdam;Zuid;http://www.fysioxl.nl;;020 662 7462;;;fysiotherapeuten: dhr. r. evers, mevr. t. van der velde.;;
FysioXL;adres;Pedro de Medinalaan;126;;;1086XR;Amsterdam;Oost;http://www.fysioxl.nl;;06 4177 3021;;;fysiotherapeuten: dhr. r. evers, mevr. t. van der velde.;;
Fysiotherapieprakijk Plexus Amsterdam;adres;Saxen-Weimarlaan;56;;;1075CE;Amsterdam;Zuid;http://www.plexusamsterdam.nl/;mail@plexusamsterdam.nl;020 662 7103;;;;;
Fysiotherapieprakijk Plexus Amsterdam;adres;Ruysdaelstraat;88;;-90;1071XH;Amsterdam;Zuid;http://www.plexusamsterdam.nl/;mail@plexusamsterdam.nl;020 662 7103;;;;;
Fysiotherapieprakijk Plexus Amsterdam;adres;Spuistraat;239;;-1;1012VP;Amsterdam;Centrum;http://www.plexusamsterdam.nl/;mail@plexusamsterdam.nl;020 662 7103;;;;;
Fysiotherapieprakijk Plexus Amsterdam;adres;Tolstraat;57;;-59;1073RW;Amsterdam;Zuid;http://www.plexusamsterdam.nl/;mail@plexusamsterdam.nl;020 662 7103;;;;;
Corpus Vitae, fysio- en manuele therapie;adres;Minervaplein;25;;;1077TJ;Amsterdam;Zuid;http://www.corpus-vitae.nl;info@corpus-vitae.nl;020 305 3600;;;;;
Corpus Vitae, fysio- en manuele therapie;adres;Hemonystraat;33;;;1074BM;Amsterdam;Zuid;http://www.corpus-vitae.nl;info@corpus-vitae.nl;020 305 3600;;;;;
Fysio & more;adres;Arent Janszoon Ernststraat;167;;;1083GT;Amsterdam;Zuid;http://www.fysio-more.nl;info@fysio-more.nl;020 644 6454;;;algemene fysiotherapie    manuele therapie    dry-needling    geriatrische fysiotherapie    sportrevalidatie    medical taping    bedrijfsfysiotherapie    fysio &;;
Fysiotherapie Schinkelkade;adres;Eerste Schinkelstraat;26;;;1075TZ;Amsterdam;Zuid;http://www.praktijkkoninginneweg.nl;praktijkschinkelkade@outlook.com;020 664 2672;;;specialisaties:    fysiotherapie    manuele therapie    haptotherapie    acupunctuur;;
Fysiotherapie Zeeburg;adres;Zeeburgerdijk;29;;-31;1093SL;Amsterdam;Oost;http://www.fysiotherapie-zeeburg.nl/;info@fysiotherapie-zeeburg.nl;020 665 2856;;;<ul>        <li>manuele therapie </li>        <li>bekkenfysiotherapie </li>        <li>parkinson netwerk. </li>        <li>individuele begeleiding in de praktijk en aan huis </li>        <;;
Fysiotherapie Zeeburg;adres;Sumatrastraat;201;A;;1094NB;Amsterdam;Oost;http://www.fysiotherapie-zeeburg.nl/;info@fysiotherapie-zeeburg.nl;020 665 2132;;;<ul>        <li>manuele therapie </li>        <li>bekkenfysiotherapie </li>        <li>parkinson netwerk. </li>        <li>individuele begeleiding in de praktijk en aan huis </li>        <;;
Fysiotherapie Zeeburg;adres;Kramatplantsoen;101;R;;1095LB;Amsterdam;Oost;http://www.fysiotherapie-zeeburg.nl/;info@fysiotherapie-zeeburg.nl;020 463 8044;;;<ul>        <li>manuele therapie </li>        <li>bekkenfysiotherapie </li>        <li>parkinson netwerk. </li>        <li>individuele begeleiding in de praktijk en aan huis </li>        <;;
De Grote Rivieren, fysiotherapiepraktijk;adres;Maasstraat;167;;;1079BG;Amsterdam;Zuid;http://www.degroterivieren.info/nl/fysiotherapie;;020 540 0180;;;specialisatie: manuele therapie.;;
Fysiotherapie Van Ham & Reekers;adres;Ter Haarstraat;18;;;1053LJ;Amsterdam;West;http://www.hamreekersfysiotherapie.nl;;020 612 2013;;;"fysiotherapeuten:<br /> h. van ham<br /> j. reekers<br /> &nbsp;    fysiotherapie    psychosomatische fysiotherapie    podoposturale therapie    pedicure / voetverzorging<br />";;
Horn & Levöleger, fysiotherapiepraktijk;adres;Abraham de Haanstraat;6;;;1035TD;Amsterdam;Noord;;etiennehorn@planet.nl;020 631 2213;;;sportrevalidatie, acupunctuur, manuele therapie.;;
Fysionovo, fysiotherapiepraktijk;adres;Makassarstraat;151;A;;1095SV;Amsterdam;Oost;http://www.fysionovo.nl;info@fysionovo.nl;020 463 6065;;;"bij fysionovo kan men terecht voor behandeling van lichamelijke klachten door bijvoorbeeld een slechte conditie, overgewicht of chronische aandoening.<br /> fysionovo heeft bewegingsprogramma&rsquo;s";;
Praktijk De Kadijk, fysiotherapiepraktijk;adres;Laagte Kadijk;41;;;1018BB;Amsterdam;Centrum;http://www.praktijkdekadijk.nl;;020 626 1836;020 330 5577;;specialisaties:    manueel therapie    bekkenbodemtherapie    oedeemfysiotherapie    kinderfysiotherapie    acupunctuur    shiatsu massage    lichaamswerk   <p;;
